Target,Driver,Best_Lag,Peak_Correlation
E_minus_P,curr_mag,2.0,0.39332232639928044
E_minus_P,runoff,,
E_minus_P,sla,2.0,-0.24640631104993976
E_minus_P,sss,3.0,-0.49429507461060934
E_minus_P,sst,3.0,-0.8143171426881918
E_minus_P,wind_mag,0.0,-0.6709294850141806
curr_mag,E_minus_P,-2.0,0.3933223263992804
curr_mag,runoff,,
curr_mag,sla,0.0,-0.12689377582950212
curr_mag,sss,0.0,-0.29838836155600085
curr_mag,sst,0.0,-0.2872174073754812
curr_mag,wind_mag,0.0,0.5673616951095419
runoff,E_minus_P,,
runoff,curr_mag,,
runoff,sla,,
runoff,sss,,
runoff,sst,,
runoff,wind_mag,,
sla,E_minus_P,-2.0,-0.2464063110499398
sla,curr_mag,0.0,-0.12689377582950212
sla,runoff,,
sla,sss,-3.0,-0.13167860549912788
sla,sst,1.0,0.42145112892199205
sla,wind_mag,1.0,-0.22614323231942443
sss,E_minus_P,-3.0,-0.4942950746106093
sss,curr_mag,0.0,-0.29838836155600085
sss,runoff,,
sss,sla,3.0,-0.1316786054991279
sss,sst,0.0,0.4695922829218472
sss,wind_mag,0.0,-0.3632972186381569
sst,E_minus_P,-3.0,-0.8143171426881918
sst,curr_mag,0.0,-0.28721740737548124
sst,runoff,,
sst,sla,-1.0,0.42145112892199205
sst,sss,0.0,0.4695922829218471
sst,wind_mag,1.0,-0.6310555360606435
wind_mag,E_minus_P,0.0,-0.6709294850141806
wind_mag,curr_mag,0.0,0.5673616951095418
wind_mag,runoff,,
wind_mag,sla,-1.0,-0.22614323231942446
wind_mag,sss,0.0,-0.36329721863815695
wind_mag,sst,-1.0,-0.6310555360606435
