,PC1,PC2,PC3,PC4,PC5
low_sss,0.08543899264844697,0.2467656298124482,0.08202399466147824,-0.01525976872677215,0.08153742186316648
low_sst,0.11538951779162782,0.32587717295849966,0.20103612286667658,-0.11588245763013554,-0.24516541093497785
low_sla,0.016190025553995884,0.15830698841260554,0.13957578787712852,-0.08657520738691568,-0.12825646248208575
low_uwind,0.32774276220872645,0.14388602906494266,0.022715528456639784,0.06119501326701808,0.02914561029414574
low_vwind,-0.2602000156028832,-0.14759423979701333,-0.029858891494161124,0.0206996457075491,-0.019011534106841522
low_ucurr,0.07225759979055697,0.21660599211355627,-0.19797867925001478,0.14698705874020082,0.4528682432769096
low_vcurr,0.3191988068834767,0.04009138677620165,0.09940369209448771,0.00837569718353176,-0.05706658330909175
low_evap,0.34277852512977225,-0.1105652677825283,0.026883551105299847,0.03148683746817863,-0.05126530074683651
low_ppt,-0.21122237890016202,0.2585219796590798,-0.11433070229028447,0.03129801061486911,-0.11611061254792163
low_runoff,-2.117582368135751e-22,-0.0,1.3877787807814457e-17,-1.1102230246251565e-16,-1.1102230246251565e-16
low_wind_mag,-0.3356775792826304,-0.14979222102040723,-0.024552982226104334,-0.04495642028456212,-0.021212572109786648
low_curr_mag,-0.1709924661401645,-0.20526675656091006,0.1442217784025851,-0.12501145040623377,-0.4108605053776439
low_E_minus_P,0.3378725050143996,-0.14398740393473375,0.04447348457526078,0.021714584861072878,-0.02337585203348499
month_sin,0.16963720641911717,0.2345186530676639,0.21055124199609246,-0.08603539718601683,-0.3246623633961317
month_cos,0.20313642537434504,-0.28807731605953424,0.09017133457292927,0.0340009473962365,-0.05290641530781734
low_sss_lag1,-0.017685872221478,0.27017741818777785,-0.0316886928959077,-0.0021433054506907944,0.13612689508629036
low_sss_lag2,-0.14785553569436022,0.20636300665781895,-0.12618005597110388,-0.04881491051901778,0.11096437580641752
low_sst_lag1,-0.037686307131237926,0.380911381933888,0.12019909859628658,-0.12354975595954758,-0.17241382540750197
low_sst_lag2,-0.1585974070916819,0.3456540495865605,-0.0028280419552746063,-0.09247185705081275,-0.041810272006624766
low_sst_x_windmag,-0.33869766015417113,-0.03817832002811606,0.053926202944630935,-0.10294136989274455,-0.13019299550740868
low_sss_is_outlier,0.0032617659082697947,-0.06631867726998764,-0.008773822719066364,-0.004876038695988213,-0.05140389715344617
low_sst_is_outlier,0.0,1.88079096131566e-37,3.2311742677852644e-27,2.0679515313825692e-25,1.6543612251060553e-24
low_sla_is_outlier,0.0,-0.0,-2.0194839173657902e-28,0.0,-2.0679515313825692e-25
low_uwind_is_outlier,3.587324068671532e-43,-0.0,1.262177448353619e-29,-1.6155871338926322e-27,-1.2924697071141057e-26
low_vwind_is_outlier,-0.0497641651426617,0.030570835775100644,0.012839199101758271,0.042419706961881506,0.154387082885291
low_ucurr_is_outlier,0.02428381851738699,0.04514588631804993,-0.3341683933977314,0.42753144372688573,-0.2813759719005809
low_vcurr_is_outlier,0.0,-0.0,-1.7632415262334313e-38,-7.52316384526264e-37,-1.2037062152420224e-35
low_evap_is_outlier,-0.12042326715392371,0.0125857768867612,0.4250781032769913,0.42792444532173585,0.06784378739903599
low_ppt_is_outlier,-0.0056106850217378995,0.11580483838481404,-0.2805622843169591,0.27716119263583366,-0.14001395313151282
low_runoff_is_outlier,0.0,-0.0,0.0,0.0,0.0
low_wind_mag_is_outlier,0.0,-0.0,0.0,0.0,0.0
low_curr_mag_is_outlier,0.028331047166878665,0.04773404627175125,-0.3026591080885698,0.41583491653975385,-0.371744569839012
low_E_minus_P_is_outlier,-0.12042326715392371,0.0125857768867612,0.42507810327699136,0.42792444532173607,0.0678437873990361
low_sss_lag1_is_outlier,0.006731506683085478,-0.08222613311844267,0.06309852246602317,-0.04153722026211758,-0.22061878262362972
low_sss_lag2_is_outlier,0.04649513689997132,-0.03034727855969498,0.058882745890156525,0.01129413123063928,-0.051813265562015
low_sst_lag1_is_outlier,0.0,-0.0,0.0,0.0,0.0
low_sst_lag2_is_outlier,0.0,-0.0,0.0,0.0,0.0
low_sst_x_windmag_is_outlier,-0.10040366009441466,0.042640410272388934,0.3284881327629668,0.29173611651978654,0.09920691678821067
