Region,Model,R² ± SD,RMSE ± SD,MAE ± SD,ΔR² ± SD,p (R² t-test),p (R² Wilcoxon),Effect size (R² d),ΔMAE (% mean ± SD),p (MAE t-test),p (MAE Wilcoxon),p (ΔMAE%),Effect size (MAE d),Significance (Combined),t (R²),df (R²),t (ΔMAE%),df (ΔMAE%),Sig (R²),Sig (MAE),Aggregate % MAE Reduction (Best vs Baseline)
Low,Baseline_Linear,-1.77 ± 3.06,0.100 ± 0.063,0.083 ± 0.060,,,,,,,,,,,,,,,,,
Low,ElasticNet,-0.11 ± 0.37,0.065 ± 0.013,0.051 ± 0.013,1.654 ± 3.258,0.269,0.094,0.51,22.44% ± 33.54%,0.236,0.156,0.162,0.67,Not Significant,1.24,5.0,1.64,5.0,,,
Low,RandomForest,0.01 ± 0.23,0.062 ± 0.014,0.048 ± 0.012,1.782 ± 3.214,0.232,0.031,0.55,26.87% ± 28.05%,0.206,0.062,0.066,0.96,Marginally Significant (p<0.1) †,1.36,5.0,2.35,5.0,,,
Low,SVR,0.01 ± 0.23,0.062 ± 0.014,0.049 ± 0.012,1.774 ± 3.247,0.238,0.031,0.55,26.56% ± 27.55%,0.210,0.031,0.065,0.96,Marginally Significant (p<0.1) †,1.34,5.0,2.36,5.0,,,
Low,XGBoost,-0.05 ± 0.40,0.063 ± 0.014,0.051 ± 0.011,1.715 ± 3.243,0.252,0.094,0.53,22.19% ± 33.97%,0.238,0.156,0.171,0.65,Not Significant,1.30,5.0,1.60,5.0,,,
Low,**BestModel_RandomForest**,,,,1.782 ± 3.214,0.232,0.031,0.55,26.87% ± 28.05%,0.206,0.062,0.066,0.96,Marginally Significant (p<0.1) †,1.36,5.0,2.35,5.0,,,41.61%
Med,Baseline_Linear,-2.31 ± 2.27,0.253 ± 0.118,0.198 ± 0.085,,,,,,,,,,,,,,,,,
Med,ElasticNet,-0.20 ± 0.36,0.158 ± 0.045,0.129 ± 0.037,2.111 ± 1.953,0.046,0.062,1.08,29.62% ± 24.16%,0.038,0.062,0.030,1.23,Statistically Significant (p<0.05) *,2.65,5.0,3.00,5.0,**,**,
Med,RandomForest,-0.06 ± 0.33,0.146 ± 0.026,0.115 ± 0.020,2.251 ± 2.133,0.049,0.031,1.06,35.97% ± 20.37%,0.034,0.031,0.008,1.77,Statistically Significant (p<0.05) *,2.59,5.0,4.32,5.0,**,**,
Med,SVR,-0.23 ± 0.21,0.159 ± 0.030,0.127 ± 0.025,2.084 ± 2.082,0.058,0.062,1.00,29.98% ± 20.41%,0.043,0.062,0.016,1.47,Statistically Significant (p<0.05) *,2.45,5.0,3.60,5.0,*,**,
Med,XGBoost,-0.32 ± 0.55,0.161 ± 0.045,0.131 ± 0.034,1.994 ± 1.921,0.052,0.031,1.04,29.36% ± 16.00%,0.031,0.031,0.006,1.83,Statistically Significant (p<0.05) *,2.54,5.0,4.49,5.0,*,**,
Med,**BestModel_RandomForest**,,,,2.251 ± 2.133,0.049,0.031,1.06,35.97% ± 20.37%,0.034,0.031,0.008,1.77,Statistically Significant (p<0.05) *,2.59,5.0,4.32,5.0,**,**,41.77%
High,Baseline_Linear,0.83 ± 0.11,1.781 ± 0.606,1.411 ± 0.514,,,,,,,,,,,,,,,,,
High,ElasticNet,0.88 ± 0.02,1.543 ± 0.265,1.242 ± 0.209,0.054 ± 0.100,0.242,0.312,0.54,5.11% ± 28.80%,0.422,0.562,0.682,0.18,Not Significant,1.33,5.0,0.43,5.0,,,
High,RandomForest,0.87 ± 0.09,1.581 ± 0.604,1.284 ± 0.469,0.043 ± 0.097,0.333,0.438,0.44,3.88% ± 33.88%,0.515,0.688,0.790,0.11,Not Significant,1.07,5.0,0.28,5.0,,,
High,SVR,0.89 ± 0.02,1.494 ± 0.252,1.166 ± 0.184,0.061 ± 0.107,0.221,0.438,0.57,9.99% ± 29.18%,0.263,0.312,0.440,0.34,Not Significant,1.40,5.0,0.84,5.0,,,
High,XGBoost,0.88 ± 0.07,1.539 ± 0.521,1.271 ± 0.389,0.051 ± 0.093,0.234,0.219,0.55,4.65% ± 30.46%,0.448,0.688,0.724,0.15,Not Significant,1.35,5.0,0.37,5.0,,,
High,**BestModel_SVR**,,,,0.061 ± 0.107,0.221,0.438,0.57,9.99% ± 29.18%,0.263,0.312,0.440,0.34,Not Significant,1.40,5.0,0.84,5.0,,,17.32%
